id,text,external_id
Superficie total,101 m²,113
Superficie construida,101 m²,113
Recámaras,2,113
Baños,2,113
Estacionamientos,1,113
Antigüedad,15 años,113
Disposición,Frente,113
Orientación,Oriente,113
Cuota mensual de mantenimiento,0 MXN,113
Superficie total,161 m²,114
Superficie construida,161 m²,114
Ambientes,5,114
Recámaras,3,114
Baños,2,114
Estacionamientos,2,114
Antigüedad,0 años,114
Superficie total,85 m²,115
Superficie construida,85 m²,115
Recámaras,2,115
Baños,2,115
Estacionamientos,1,115
Antigüedad,5 años,115
Superficie total,101 m²,116
Superficie construida,101 m²,116
Recámaras,2,116
Baños,2,116
Estacionamientos,1,116
Antigüedad,15 años,116
Disposición,Frente,116
Orientación,Oriente,116
Cuota mensual de mantenimiento,0 MXN,116
Superficie total,93 m²,117
Superficie construida,93 m²,117
Recámaras,2,117
Baños,2,117
Estacionamientos,2,117
Disposición,Interno,117
Orientación,Oriente,117
Antigüedad,11 años,117
Cuota mensual de mantenimiento,0 MXN,117
Superficie total,145 m²,118
Superficie construida,145 m²,118
Ambientes,6,118
Recámaras,3,118
Baños,2,118
Estacionamientos,1,118
Antigüedad,0 años,118
Superficie total,67 m²,119
Superficie construida,67 m²,119
Ambientes,4,119
Recámaras,3,119
Baños,1,119
Estacionamientos,1,119
Antigüedad,26 años,119
Superficie total,180 m²,120
Superficie construida,180 m²,120
Ambientes,5,120
Recámaras,3,120
Baños,2,120
Estacionamientos,2,120
Antigüedad,5 años,120
Superficie total,70 m²,121
Superficie construida,70 m²,121
Ambientes,2,121
Recámaras,1,121
Baños,1,121
Estacionamientos,1,121
Antigüedad,0 años,121
Superficie total,193 m²,122
Superficie construida,193 m²,122
Ambientes,7,122
Recámaras,3,122
Baños,3,122
Estacionamientos,2,122
Superficie total,151 m²,123
Superficie construida,151 m²,123
Recámaras,3,123
Baños,3,123
Estacionamientos,2,123
Antigüedad,2 años,123
Superficie construida,120 m²,124
Recámaras,2,124
Baños,2,124
Estacionamientos,2,124
Antigüedad,12 años,124
Superficie total,65 m²,125
Superficie construida,65 m²,125
Recámaras,65,125
Baños,1,125
Cantidad de pisos,2,125
Antigüedad,8 años,125
Cuota mensual de mantenimiento,500 MXN,125
Superficie total,800 m²,126
Superficie construida,4200 m²,126
Estacionamientos,30,126
Antigüedad,0 años,126
Superficie total,125 m²,127
Superficie construida,125 m²,127
