link,price,lowest_price,highest_price,id
/propiedades/penthouse-con-terraza-y-roof-en-venta-en-la-roma-norte-62518475.html,"MN 4,812,500",,,173
/propiedades/preventa-de-los-mejores-depas-en-el-mejor-concepto-de-59692359.html,"MN 3,500,000",,,174
/propiedades/departamento-en-venta-en-la-colonia-roma-con-la-mejor-62380234.html,"MN 3,850,000",,,175
/propiedades/departamento-chapultepec-61038007.html,"MN 4,445,000",,,176
/propiedades/departamento-con-terraza-privada-de-dos-niveles-en-62928853.html,"MN 4,950,000",,,177
/propiedades/magnifico-departamento-con-roof-garden-privado-en-el-63031527.html,"MN 13,000,000",,,178
/propiedades/venta-departamento-roma-norte-durango-cibeles-61773484.html,"MN 5,600,000",,,179
/propiedades/hermoso-departamento-1-rec-y-roof-garden-privado-59467861.html,"MN 6,795,000",,,180
/propiedades/departamento-exterior-terrazas-108-m-sup2--15-62993611.html,"MN 6,950,000",,,181
/propiedades/roma-norte-venta-departamento-exterior-con-balcones-59391403.html,"MN 5,500,000",,,182
/propiedades/alvaro-obregon-284-63075049.html,"MN 6,674,000",,,183
/propiedades/departamento-en-venta-en-roma-norte-63172185.html,"MN 4,700,000",,,184
/propiedades/departamento-a-estrenar-en-col-roma-62665080.html,"MN 4,150,000",,,185
/propiedades/ph-en-venta-roma-norte.-61051033.html,"MN 9,350,000",,,186
/propiedades/preventa-departamento-en-veracruz-condesa-roma-58802979.html,"MN 4,289,400",,,187
/propiedades/queretaro-37-roma-norte-63067837.html,"MN 3,225,000",,,188
/propiedades/departamento-en-pre-venta-en-la-roma-norte-60020551.html,"MN 5,690,000",,,189
/propiedades/venta-departamento-1-a-2-rec-roma-nte-cdmx-60307062.html,"MN 2,972,500",,,190
/propiedades/departamento-en-preventa-chihuahua-19-60143261.html,"MN 4,037,800",,,191
/propiedades/departamento-en-venta-roma-norte-56807522.html,"MN 6,000,000",,,192
/propiedades/departamento-nuevo-en-venta-en-la-colonia-roma-63022722.html,"MN 6,850,000",,,193
/propiedades/venta-departamento-en-la-colonia-roma-62474031.html,"MN 3,700,000",,,194
/propiedades/roma-norte-hermoso-departamento-59029579.html,"MN 5,200,000",,,195
/propiedades/hermoso-departamento-1-rec-y-roof-garden-privado-59467861.html,"MN 6,795,000",,,196
/propiedades/se-vende-departamento-tipo-loft-en-medellin-roma-norte-60873201.html,"MN 1,800,000",,,197
/propiedades/departamento-con-terraza-privada-de-dos-niveles-en-62928853.html,"MN 4,950,000",,,198
/propiedades/vendo-departamentos-ph-en-roma-norte-desde-114-m-sup2-60484281.html,"MN 11,720,767",,,199
/propiedades/depa-de-lujo-de-37-m-sup2--en-pre-venta-en-roma-norte-62653060.html,"MN 3,922,000",,,200
/propiedades/departamento-venta-62928913.html,"MN 3,300,000",,,201
/propiedades/departamento-calle-chihuahua-col.-roma-norte-62228189.html,"MN 13,000,000",,,202
/propiedades/departamento-en-venta-en-roma-norte-nc-62369194.html,"MN 4,495,005",,,203
/propiedades/departamento-en-venta-en-av-chapultepec-roma-norte.-62185679.html,"MN 6,650,004",,,204
/propiedades/departamento-loft-de-2-niveles-en-la-roma-norte-63080018.html,"MN 6,850,000",,,205
/propiedades/departamento-en-venta-en-cuauhtemoc-roma-norte-gis.-62683103.html,"MN 4,250,000",,,206
/propiedades/departamento-en-venta-roma-norte-calle-cordoba-22-62995580.html,"MN 4,495,005",,,207
/propiedades/departamento-en-venta-en-roma-norte-22944ru-62402750.html,"MN 7,962,404",,,208
/propiedades/departamento-en-venta-en-av-chapultepec-roma-norte.-62880831.html,"MN 5,950,004",,,209
/propiedades/departamento-en-venta-en-cuauhtemoc-roma-norte.-ru-62660301.html,"MN 9,935,984",,,210
/propiedades/departamento-en-venta-en-cuauhtemoc-roma-norte-21-62670146.html,"MN 3,640,005",,,211
/propiedades/departamento-en-venta-en-cuauhtemoc-roma-norte-isg-61890091.html,"MN 4,455,008",,,212
/propiedades/pent-house-en-preventa-calle-guanajuato-col.-roma-60413650.html,"MN 9,350,000",,,213
/propiedades/departamento-en-venta-roma-norte-av-chapultepec-22-63080121.html,"MN 6,650,005",,,214
/propiedades/departamento-en-venta-en-calle-cordoba-roma-norte.-ru-62881285.html,"MN 9,151,844",,,215
/propiedades/departamento-en-venta-cuauhtemoc-roma-norte-gis.-22-62669975.html,"MN 8,584,000",,,216
/propiedades/preventa-de-departamento-en-col.-roma-cuauhtemoc-62049969.html,"MN 3,864,082",,,217
/propiedades/estrena-departamento-en-la-roma-norte-62037145.html,"MN 3,968,514",,,218
/propiedades/departamento-en-venta-en-av-chapultepec-roma-norte.-62895859.html,"MN 4,430,004",,,219
/propiedades/departamento-en-venta-en-roma-norte-22940rt-62508393.html,"MN 4,296,663",,,220
/propiedades/departamento-en-venta-roma-norte-calle-cordoba-21-62679368.html,"MN 4,495,005",,,221
/propiedades/departamento-en-venta-en-calle-tonala-roma-norte.-ru-62609470.html,"MN 8,584,004",,,222
/propiedades/departamento-en-venta-en-cuauhtemoc-roma-norte-gis.-62493408.html,"MN 9,900,000",,,223
/propiedades/departamento-en-venta-en-la-roma-62515336.html,"MN 4,495,000",,,224
/propiedades/departamento-en-venta-en-calle-colima-roma-norte.-ru-63282634.html,"MN 8,250,004",,,225
/propiedades/departamento-pent-house-nuevo-en-venta-en-colonia-roma-62515219.html,"MN 9,010,885",,,226
/propiedades/departamento-en-venta-en-calle-san-luis-potosi-roma-62874240.html,"MN 11,248,824",,,227
/propiedades/departamento-en-venta-roma-norte-cuauhtemoc-rt-22-63113496.html,"MN 12,843,080",,,228
/propiedades/departamento-en-venta-en-cuauhtemoc-roma-norte-gis.-62683159.html,"MN 4,390,000",,,229
/propiedades/cozumel-colonia-roma-depa-de-buen-valor-al-mejor-62915691.html,"MN 3,490,000",,,230
/propiedades/departamento-en-venta-cuauhtemoc-roma-norte-rt-22-63112883.html,"MN 14,654,425",,,231
/propiedades/departamento-en-venta-en-roma-norte-cuauhtemoc-rt-22-63231855.html,"MN 4,913,500",,,232
/propiedades/departamento-en-roma-norte-63016276.html,"MN 6,500,000",,,233
/propiedades/departamento-en-venta-en-calle-coahuila-roma-norte.-62881031.html,"MN 6,600,004",,,234
/propiedades/penthouse-en-venta-en-la-roma-norte-61051620.html,"MN 19,404,000",,,235
/propiedades/departamento-en-venta-en-cuauhtemoc-roma-norte-gis.-62676557.html,"MN 3,640,000",,,236
/propiedades/departamento-en-venta-en-cuauhtemoc-roma-norte-21-62670238.html,"MN 3,725,005",,,237
/propiedades/preventa-de-departamento-en-coahuila-roma-norte-61152975.html,"MN 4,880,000",,,238
/propiedades/departamento-en-calle-zacatecas-col.-roma-norte-61798211.html,"MN 11,670,000",,,239
/propiedades/departamento-en-venta-en-calle-colima-roma-norte.-ru-63282894.html,"MN 10,249,474",,,240
/propiedades/departamento-en-venta-roma-norte-calle-zacatecas-22-63143641.html,"MN 12,900,005",,,241
/propiedades/venta-de-ph-en-guanajuato-cuauhtemoc-61367266.html,"MN 9,900,000",,,242
/propiedades/venta-de-departamento-en-bajio-cuauhtemoc-61153382.html,"MN 10,030,000",,,243
/propiedades/penthouse-en-venta-en-la-roma-norte-61051620.html,"MN 19,404,000",,,244
/propiedades/departamento-calle-chihuahua-col.-roma-norte-62228189.html,"MN 13,000,000",,,245
/propiedades/departamento-en-venta-en-av-chapultepec-roma-norte.-62194859.html,"MN 6,800,004",,,246
/propiedades/departamento-en-venta-en-roma-norte-san-luis-potosi-62508409.html,"MN 7,962,403",,,247
/propiedades/departamento-en-venta-roma-63075057.html,"MN 13,000,000",,,248
/propiedades/departamento-en-venta-roma-norte-calle-guanajuato-22-63002796.html,"MN 9,900,005",,,249
/propiedades/departamento-en-venta-en-calle-tonala-roma-norte.-ru-62609470.html,"MN 8,584,004",,,250
/propiedades/departamento-en-venta-en-cuauhtemoc-roma-norte-gis.-62683130.html,"MN 4,278,000",,,251
/propiedades/departamento-en-venta-en-cuauhtemoc-roma-norte-21-62670146.html,"MN 3,640,005",,,252
/propiedades/departamento-en-venta-roma-norte-cuauhtemoc-rt-22-63113496.html,"MN 12,843,080",,,253
/propiedades/preventa-de-departamento-en-roma-nte-cuauhtemoc-61153053.html,"MN 3,820,000",,,254
/propiedades/departamento-en-venta-roma-norte-av-chapultepec-22-63080479.html,"MN 6,800,005",,,255
/propiedades/departamento-en-venta-en-roma-norte-nc-62369194.html,"MN 4,495,005",,,256
/propiedades/departamento-en-venta-cuauhtemoc-colonia-roma-norte-63333004.html,"MN 5,295,000",,,257
/propiedades/departamento-en-venta-con-jardin-colonia-roma-63289889.html,"MN 9,700,000",,,258
/propiedades/departamento-en-venta-en-la-roma-62515336.html,"MN 4,495,000",,,259
/propiedades/departamento-en-venta-en-la-roma-norte-super-ubicado-61189270.html,"MN 5,200,000",,,260
/propiedades/departamento-calle-zacatecas-col.-roma-norte-61796227.html,"MN 9,550,000",,,261
/propiedades/departamento-exterior-en-el-corazon-de-la-roma-norte-59198927.html,"MN 5,800,000",,,262
/propiedades/venta-departamento-roma-norte-62677874.html,"MN 4,300,000",,,263
/propiedades/departamento-en-venta-en-av-chapultepec-roma-norte.-62895859.html,"MN 4,430,004",,,264
/propiedades/estrena-departamento-en-la-roma-norte-62037196.html,"MN 3,848,548",,,265
/propiedades/departamento-en-venta-en-av-chapultepec-roma-norte.-62880831.html,"MN 5,950,004",,,266
/propiedades/departamento-en-venta-roma-norte-calle-cordoba-22-62995580.html,"MN 4,495,005",,,267
/propiedades/departamento-en-venta-roma-norte-av-chapultepec-22-63080032.html,"MN 4,430,005",,,268
/propiedades/departamento-en-venta-cuauhtemoc-roma-norte-gis.-22-62669975.html,"MN 8,584,000",,,269
