id,coords
212,19.4164496%2C-99.1618624
213,19.418009%2C-99.15571
214,19.415896%2C-99.1594
215,19.422955%2C-99.165253
216,19.4195256%2C-99.162549
217,19.4195256%2C-99.162549
218,19.405299%2C-99.1649891
219,19.415015%2C-99.159895
220,19.423492%2C-99.1535797
221,19.4163%2C-99.1682
222,19.414904%2C-99.160883
223,19.4208631%2C-99.1598168
224,19.4186168%2C-99.1585712
225,19.412585%2C-99.1552635
226,19.4356338%2C-99.1495107
230,19.4211981%2C-99.1726124
231,19.417833%2C-99.154381
232,19.417833%2C-99.154381
233,19.4195256%2C-99.162549
234,19.4195256%2C-99.162549
235,19.4356338%2C-99.1495107
236,19.423492%2C-99.1535797
237,19.4211155%2C-99.1660541
238,19.42048%2C-99.1702009
239,19.42048%2C-99.1702009
240,19.42048%2C-99.1702009
241,19.42048%2C-99.1702009
242,19.42048%2C-99.1702009
243,19.42048%2C-99.1702009
244,19.4195404%2C-99.1569233
245,19.4217849%2C-99.1550926
246,19.4031745%2C-99.1427681
247,19.415946%2C-99.1633672
248,19.3523991%2C-99.1579743
249,19.4233848%2C-99.1544581
250,19.4233848%2C-99.1544581
251,19.3992758%2C-99.1608756
252,19.4195256%2C-99.162549
253,19.417855%2C-99.1602101
254,19.4095846%2C-99.1575732
255,19.4095846%2C-99.1575732
256,19.4095846%2C-99.1575732
257,19.4140654%2C-99.1575447
258,19.4211937%2C-99.157191
259,19.413791%2C-99.1563072
260,19.4205483%2C-99.1568315
261,19.4181823%2C-99.165573
262,19.4180125%2C-99.1748189
263,19.4165232%2C-99.1642517
264,19.4216027%2C-99.1694198
265,19.413991%2C-99.160745
266,19.4195256%2C-99.162549
267,19.4195256%2C-99.162549
268,19.4172178%2C-99.1706047
269,19.424787%2C-99.174499
270,19.4198868%2C-99.1720176
271,19.410758%2C-99.1684745
272,19.4193454%2C-99.1580477
273,19.4181605%2C-99.1584569
274,19.4180754%2C-99.1574104
275,19.4196247%2C-99.1743387
276,19.416902%2C-99.1608338
277,19.4227485%2C-99.1649459
278,19.4195256%2C-99.162549
279,19.4131943%2C-99.1595181
280,19.414149%2C-99.1645398
281,19.4120738%2C-99.161042
282,19.4206946%2C-99.1597601
283,19.4193691%2C-99.1743199
284,19.424552%2C-99.1583314
285,19.416758%2C-99.1624745
286,19.420564%2C-99.173463
287,19.4195256%2C-99.162549
288,19.4161573%2C-99.1575643
289,19.4130842%2C-99.1608389
290,19.4164444%2C-99.1588867
291,19.4125039%2C-99.1624249
292,19.41991%2C-99.1662471
293,19.4200114%2C-99.1554958
294,19.4195256%2C-99.162549
295,19.417918%2C-99.1569917
296,19.412476%2C-99.157258
297,19.413758%2C-99.1654745
298,19.4138399%2C-99.1617242
299,19.4207309%2C-99.1667851
300,19.4214968%2C-99.165573
301,19.4228023%2C-99.1561449
302,19.4208488%2C-99.1593324
303,19.419525%2C-99.162549
304,19.413758%2C-99.1654745
305,19.416902%2C-99.1608338
306,19.4214968%2C-99.165573
307,19.420787%2C-99.178499
308,19.4193365%2C-99.1488697
309,19.4175607%2C-99.1585603
310,19.4217498%2C-99.1552313
311,19.4245959%2C-99.157884
312,19.4186073%2C-99.1696563
313,19.4221155%2C-99.1650541
314,19.416462%2C-99.1703695
315,19.4221155%2C-99.1650541
316,19.423787%2C-99.175499
317,19.4158401%2C-99.1596792
318,19.4203875%2C-99.1647512
319,19.4211906%2C-99.1611555
320,19.4021495%2C-99.170374
321,19.4150948%2C-99.1583504
322,19.4202%2C-99.1684
323,19.4245959%2C-99.157884
324,19.4205026%2C-99.1561016
325,19.4196927%2C-99.1560364
326,19.4205737%2C-99.1635727
327,19.4183512%2C-99.1572547
328,19.4130341%2C-99.1614773
329,19.4168697%2C-99.1724069
330,19.3986847%2C-99.1694361
331,19.4166856%2C-99.1612588
332,19.4158401%2C-99.1596792
333,19.4183512%2C-99.1572547
334,19.411785%2C-99.16383
335,19.4147888%2C-99.1568826
336,19.4175462%2C-99.1714968
337,19.4199907%2C-99.1715554
338,19.4221155%2C-99.1650541
339,19.416779%2C-99.158002
340,19.4188488%2C-99.1613324
341,19.418153%2C-99.1652014
342,19.418153%2C-99.1652014
343,19.4182631%2C-99.1557848
344,19.4148447%2C-99.1602414
345,19.4207579%2C-99.1653895
346,19.418153%2C-99.1652014
347,19.4195256%2C-99.162549
348,19.416902%2C-99.1608338
349,19.4178125%2C-99.1585625
350,19.4168697%2C-99.1724069
351,19.4171982%2C-99.1555016
352,19.4234541%2C-99.1619184
353,19.4130341%2C-99.1614773
354,19.413034%2C-99.161477
