main_name|subtitle|link|location|price|attributes|id|address|lat|lon|since
1360 Av. Chapultepec, Roma Norte|Departamento en venta|https://departamento.metroscubicos.com/MLM-1317153925-1360-av-chapultepec-roma-norte-_JM#position=25&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Av  Chapultepec, Roma Norte, Cuauhtémoc, Distrito Federal|6500000 pesos|187 m² construidos,3 recs.|25|Av  Chapultepec|19.39068|-99.2836995|
Departamento De 2 Niveles En La Roma Norte|Departamento en venta|https://departamento.metroscubicos.com/MLM-1371129382-departamento-de-2-niveles-en-la-roma-norte-_JM#position=26&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Córdoba 74, Roma Norte, Ciudad De México, Cdmx, México, Roma Norte, Cuauhtémoc, Distrito Federal|5990000 pesos|128 m² construidos,2 recs.|26|Córdoba 74, Roma Norte, Ciudad De México, Cdmx, México|19.39068|-99.2836995|Publicado hace 18 días
Últimos Deptos En Preventa En Roma Norte|Departamento en venta|https://departamento.metroscubicos.com/MLM-1374256918-ultimos-deptos-en-preventa-en-roma-norte-_JM#position=27&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Frontera, Roma Norte, Cuauhtémoc, Distrito Federal|6732700 pesos|103 m² construidos,2 recs.|27|Frontera|19.39068|-99.2836995|Publicado hace 11 días
Renta Departamento En Roma Norte|Departamento en renta|https://departamento.metroscubicos.com/MLM-1362972854-renta-departamento-en-roma-norte-_JM#position=28&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Sinaloa 170, Roma Norte, Ciudad De México, Cdmx, México, Roma Norte, Cuauhtémoc, Distrito Federal|21000 pesos|92 m² construidos,2 recs.|28|Sinaloa 170, Roma Norte, Ciudad De México, Cdmx, México|19.39068|-99.2836995|Publicado hace 40 días
Excelente Departamento En La Condesa, Cdmx, 4349|Departamento en renta|https://departamento.metroscubicos.com/MLM-1352115657-excelente-departamento-en-la-condesa-cdmx-4349-_JM#position=29&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Salamanca, Roma Norte, Cuauhtémoc, Distrito Federal|19700 pesos|60 m² construidos,2 recs.|29|Salamanca|19.39068|-99.2836995|
D283 - Coahuila|Departamento en venta|https://departamento.metroscubicos.com/MLM-1316982655-d283-coahuila-_JM#position=30&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Coahuila, Roma Norte, Cuauhtémoc, Distrito Federal|3150850 pesos|41 m² construidos,1 rec.|30|Coahuila|19.39068|-99.2836995|
Renta Local Comercial Roma Norte Cuauhtémoc|Local comercial en renta|https://inmueble.metroscubicos.com/MLM-1358175955-renta-local-comercial-roma-norte-cuauhtemoc-_JM#position=31&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Roma Norte, Cuauhtémoc, Distrito Federal|85000 pesos|445 m² construidos|31||19.39068|-99.2836995|Publicado hace 55 días
Preventa Exclusiva · Terraloza Roma Norte ·|Departamento en venta|https://departamento.metroscubicos.com/MLM-1367171972-preventa-exclusiva-terraloza-roma-norte--_JM#position=32&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Tonala, Roma Norte, Cuauhtémoc, Distrito Federal|4264000 pesos|54 m² construidos,1 rec.|32|Tonala|19.39068|-99.2836995|Publicado hace 28 días
Departamento En Venta, Roma Norte, Guanajuato (202)|Departamento en venta|https://departamento.metroscubicos.com/MLM-1370007737-departamento-en-venta-roma-norte-guanajuato-202-_JM#position=33&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Guanajuato, Cuauhtémoc, Distrito Federal|9789570 pesos|153 m² construidos,3 recs.|33|Guanajuato|19.39068|-99.2836995|Publicado hace 20 días
Oficina En Renta De 125 M2 En La Colonia Roma, Cerca A Metro|Oficina en renta|https://inmueble.metroscubicos.com/MLM-1353707665-oficina-en-renta-de-125-m2-en-la-colonia-roma-cerca-a-metro-_JM#position=34&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Guanajuato, Roma Norte, Cuauhtémoc, Distrito Federal|30000 pesos|125 m² construidos|34|Guanajuato|19.39068|-99.2836995|
Renta Oficina Roma Cuauhtémoc|Oficina en renta|https://inmueble.metroscubicos.com/MLM-1358120260-renta-oficina-roma-cuauhtemoc-_JM#position=35&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Roma Norte, Cuauhtémoc, Distrito Federal|45000 pesos|170 m² construidos|35||19.39068|-99.2836995|Publicado hace 55 días
Departamento En Renta En Element Roma (302)|Departamento en renta|https://departamento.metroscubicos.com/MLM-875782606-departamento-en-renta-en-element-roma-302-_JM#position=36&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Colima 334, Roma Norte, Cuauhtémoc, Distrito Federal|38500 pesos|106 m² construidos,2 recs.|36|Colima 334|19.39068|-99.2836995|Publicado hace 1 año
Departamento En Venta Colonia Roma 3 Recámaras|Departamento en venta|https://departamento.metroscubicos.com/MLM-1361671133-departamento-en-venta-colonia-roma-3-recamaras-_JM#position=37&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|San Luis Potosi, Roma Norte, Cuauhtémoc, Distrito Federal|11407308 pesos|158 m² construidos,2 recs.|37|San Luis Potosi|19.39068|-99.2836995|Publicado hace 43 días
Oficina En Venta, Col. Roma Norte (zacatecas) |Oficina en venta|https://inmueble.metroscubicos.com/MLM-1370153331-oficina-en-venta-col-roma-norte-zacatecas-_JM#position=38&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Zacatecas, Cuauhtémoc, Distrito Federal|1300000 pesos|23 m² construidos|38|Zacatecas|19.39068|-99.2836995|Publicado hace 20 días
Departamento En Roma Norte, Cuauhtémoc Con 3 Recámaras, 141 M², Id: 49920|Departamento en venta|https://departamento.metroscubicos.com/MLM-1361331494-departamento-en-roma-norte-cuauhtemoc-con-3-recamaras-141-m-id-49920-_JM#position=39&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Calle Querétaro, Roma Norte, Cuauhtémoc, Distrito Federal|8200000 pesos|141 m² construidos,3 recs.|39|Calle Querétaro|19.39068|-99.2836995|
