property_type,price_type,lat,lon,years,CVEGEO,new_id,num_comercios,is_consultorio,is_recreativo,is_retail,is_escuela,is_depto,Baños_imp,Recámaras_imp,precio_m2_final,nearest_50_pct_price,nearest_75_pct_price,nearest_25_pct_price,nearest_std_price,ageb_precio_m2_25_pct,ageb_precio_m2_50_pct,ageb_precio_m2_75_pct
depto,venta,19.4206466,-99.170547,0.0,0901500010998,52,425.0,23.0,78.0,96.0,12.0,1,2.0,2.0,77683.23232323233,63468.553222448005,74999.826629681,56573.26007326007,17966.035875516816,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.419863,-99.1682223,0.0,0901500010998,54,437.0,31.0,77.0,83.0,9.0,1,1.0,1.0,81547.61904761905,52055.879899916596,54191.815548044426,43088.94230769231,8507.0016708123,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.420114,-99.170194,0.0,0901500010998,55,449.0,75.0,65.0,88.0,12.0,1,2.0,2.0,66213.59223300971,62919.98292969167,68972.97846403901,46642.053445850914,18290.9908354596,45555.55555555556,58439.22572316689,70147.05882352941
depto,renta,19.4196971,-99.1665131,2.0,0901500010998,56,427.0,33.0,77.0,74.0,8.0,1,1.0,2.0,36000.0,61880.73394495413,65627.86697247706,49718.67486667249,11604.447451651333,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.422946,-99.1652713,0.0,0901500010998,57,612.0,15.0,121.0,245.0,11.0,1,2.0,2.0,49408.602150537634,57949.21340629275,69583.49218452154,55235.294117647056,14709.285409773003,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.421902,-99.1636,0.0,0901500010998,58,365.0,17.0,79.0,87.0,14.0,1,1.0,1.0,82941.17647058824,69520.6729823031,82884.61538461539,55000.0,19460.99417049252,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4213841,-99.1690072,0.0,0901500010998,59,409.0,30.0,79.0,80.0,9.0,1,2.0,2.0,75405.4054054054,72539.46703713058,77546.94444444444,54985.888618918645,18448.56365554588,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.422406,-99.16488,0.0,0901500010998,64,379.0,19.0,75.0,83.0,12.0,1,2.0,3.0,64043.01075268817,57526.91104739919,59016.30394310608,45874.06015037594,12324.458989408768,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4219472,-99.1689252,15.0,0901500010998,65,362.0,10.0,75.0,66.0,8.0,1,2.0,2.0,55607.47663551402,42367.246634290605,49887.51535912425,32017.43350107836,14593.590764590426,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.420232,-99.1696743,11.0,0901500010998,66,411.0,28.0,64.0,91.0,13.0,1,2.0,2.0,67196.26168224298,47472.527472527465,64820.971867007676,43261.47151898734,16096.465479628136,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4229547,-99.1652534,0.0,0901500010998,67,612.0,15.0,120.0,246.0,11.0,1,1.0,1.0,77805.35135135135,56184.50752393981,60185.362517099864,50865.27514231499,13511.52010642596,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4203748,-99.168491,0.0,0901500010998,68,434.0,33.0,79.0,78.0,9.0,1,1.0,1.0,68750.0,52293.577981651375,59633.02752293578,43088.94230769231,13565.249823185506,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4229547,-99.1652534,0.0,0901500010998,69,612.0,15.0,120.0,246.0,11.0,1,2.2,2.4,82150.05882352941,56184.50752393981,60185.362517099864,50865.27514231499,12648.997449549126,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4229547,-99.1652534,0.0,0901500010998,70,612.0,15.0,120.0,246.0,11.0,1,2.0,2.0,57133.72093023256,57000.0,69631.94179692464,50865.27514231499,15057.016545569955,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4229547,-99.1652534,0.0,0901500010998,71,612.0,15.0,120.0,246.0,11.0,1,2.0,2.0,72622.95081967213,56184.50752393981,60185.362517099864,50865.27514231499,14263.282302106989,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4229547,-99.1652534,0.0,0901500010998,72,612.0,15.0,120.0,246.0,11.0,1,2.0,2.0,37261.69844020797,57949.21340629275,69631.94179692464,55235.294117647056,13064.681370103463,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.421948,-99.16916,0.0,0901500010998,75,370.0,11.0,75.0,71.0,9.0,1,1.0,1.0,51251.88963771084,54177.30945377369,73757.91196911197,41210.325586838226,21805.1797006087,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4202688,-99.1642694,0.0,0901500010998,76,327.0,18.0,74.0,61.0,12.0,1,2.0,2.0,36956.52173913043,54255.31914893617,63835.71640670831,45885.41666666667,12830.2059329528,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4207579,-99.1653895,5.0,0901500010998,79,375.0,28.0,93.0,67.0,13.0,1,2.0,3.0,45555.55555555556,46322.11538461538,61153.940559440554,41388.88888888888,11229.605448395563,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4213628,-99.1679593,0.0,0901500010998,82,389.0,29.0,78.0,71.0,7.0,1,3.0,3.0,47989.79591836735,58744.17293233083,71003.01597348922,47990.29126213592,15047.939280795063,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4220585,-99.1661464,49.0,0901500010998,83,377.0,22.0,81.0,71.0,10.0,1,1.0,2.0,50000.0,45043.70629370629,61502.35971999851,40052.413671599716,12978.170383569925,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4213628,-99.1679593,0.0,0901500010998,84,389.0,29.0,78.0,71.0,7.0,1,3.0,3.0,47990.29126213592,58744.17293233083,71003.01597348922,47989.91975430949,15047.977327855187,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4213628,-99.1679593,0.0,0901500010998,86,389.0,29.0,78.0,71.0,7.0,1,3.0,3.0,47990.29126213592,58744.17293233083,71003.01597348922,47989.91975430949,15047.977327855187,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4214358,-99.1704172,0.0,0901500010998,87,384.0,11.0,85.0,91.0,11.0,1,1.0,1.0,77928.57142857143,62732.882350098516,77649.16035353535,59900.6587727518,18344.281108669074,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4198706,-99.1695089,0.0,0901500010998,88,431.0,32.0,67.0,94.0,13.0,1,2.0,2.0,75806.45161290323,47472.527472527465,63044.255085211655,43261.47151898734,14961.060763431049,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4219483,-99.1689141,3.0,0901500010998,89,363.0,10.0,75.0,67.0,8.0,1,2.0,2.0,54385.9649122807,42367.246634290605,49887.51535912425,32017.43350107836,14695.560360931182,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.419863,-99.1682223,40.0,0901500010998,90,437.0,31.0,77.0,83.0,9.0,1,1.0,2.0,43125.0,52293.577981651375,58430.91099307903,45262.23776223776,13001.573569029017,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4207236,-99.1653451,5.0,0901500010998,91,382.0,27.0,93.0,70.0,13.0,1,2.0,3.0,45555.55555555556,46322.11538461538,61153.940559440554,41388.88888888888,11229.605448395563,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4213891,-99.169012,1.0,0901500010998,93,409.0,30.0,79.0,80.0,9.0,1,2.0,2.0,47938.1443298969,75709.45945945947,77546.94444444444,63542.950884867765,17349.272082330677,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4218675,-99.1636483,0.0,0901500010998,94,365.0,17.0,80.0,87.0,14.0,1,1.0,1.0,82500.0,82205.88235294117,82830.88235294117,80329.41864052469,8084.043651524674,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.42186,-99.163648,0.0,0901500010998,97,365.0,17.0,80.0,87.0,14.0,1,1.0,1.0,79618.8717948718,82500.0,82830.88235294117,80823.33995518749,8104.342631526443,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.421867,-99.16364,0.0,0901500010998,98,364.0,17.0,79.0,87.0,14.0,1,1.0,1.0,87523.80952380953,82205.88235294117,82500.0,80329.41864052469,7741.122073822279,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.421917,-99.1693212,0.0,0901500010998,99,366.0,10.0,76.0,79.0,9.0,1,1.0,1.0,75464.05405405405,60693.313993159536,77546.94444444444,46323.788956324235,22104.804613361466,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4218158,-99.1693856,0.0,0901500010998,100,357.0,10.0,74.0,79.0,9.0,1,1.0,1.0,77546.94444444444,65170.80668693009,77026.22184684683,46697.60211490487,21700.772344344274,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.421863,-99.16916,0.0,0901500010998,101,370.0,11.0,77.0,71.0,10.0,1,1.0,1.0,87255.3125,60693.313993159536,77026.22184684683,46323.788956324235,20800.457667201794,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4218968,-99.1693856,0.0,0901500010998,102,365.0,10.0,79.0,81.0,9.0,1,1.0,2.0,68639.4857142857,64105.59816304371,77546.94444444444,46323.788956324235,22482.9990496009,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4218158,-99.1693856,0.0,0901500010998,103,357.0,10.0,74.0,79.0,9.0,1,1.0,1.0,77546.94444444444,65170.80668693009,77026.22184684683,46697.60211490487,21700.772344344274,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4219017,-99.1635997,0.0,0901500010998,104,365.0,17.0,79.0,87.0,14.0,1,1.0,1.0,55000.0,81392.85714285714,82994.90950226245,55938.90791972298,19495.164458580868,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4202688,-99.1642694,1.0,0901500010998,105,327.0,18.0,74.0,61.0,12.0,1,3.0,2.0,61538.58741258741,50565.15957446808,62014.8993407955,42601.6548463357,13750.61600343936,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.42205,-99.16614,,0901500010998,106,379.0,22.0,83.0,71.0,10.0,1,1.0,2.0,33519.5530726257,47884.61538461538,61502.35971999851,44318.181818181816,9632.736912247392,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.42186,-99.16364,,0901500010998,107,365.0,17.0,80.0,87.0,14.0,1,1.0,1.0,81911.76470588235,81480.26585247794,82500.0,79785.58241758242,11324.953190426553,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.42186,-99.16364,,0901500010998,108,365.0,17.0,80.0,87.0,14.0,1,1.0,1.0,82500.0,81186.14820541911,82500.0,79785.58241758242,11298.556580774155,45555.55555555556,58439.22572316689,70147.05882352941
casa,venta,19.42295,-99.16525,,0901500010998,109,612.0,15.0,120.0,246.0,11.0,0,2.0,2.0,55235.294117647056,57949.21340629275,69631.94179692464,50865.27514231499,15017.711919634532,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4219,-99.16359,,0901500010998,111,364.0,16.0,79.0,87.0,14.0,1,1.0,1.0,55000.0,81392.85714285714,82994.90950226245,55938.90791972298,19495.164458580868,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.42073,-99.16678,,0901500010998,112,345.0,28.0,70.0,57.0,7.0,1,2.0,2.0,63761.46788990826,58877.92364518882,63596.696155526435,42448.48250728863,13012.611027572233,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.42015,-99.16976,,0901500010998,115,412.0,28.0,64.0,92.0,13.0,1,1.0,1.0,81547.61904761905,47472.527472527465,63044.255085211655,43261.47151898734,13793.120741362536,45555.55555555556,58439.22572316689,70147.05882352941
casa,venta,19.42299,-99.16423,,0901500010998,116,604.0,17.0,106.0,255.0,12.0,0,2.0,2.0,57490.07936507936,57125.79204895646,64043.01075268817,46584.34595866123,11582.062174115454,45555.55555555556,58439.22572316689,70147.05882352941
casa,venta,19.42165,-99.16376,,0901500010998,119,377.0,20.0,83.0,92.0,15.0,0,1.0,1.0,87524.26315789473,82205.88235294117,82500.0,80329.41864052469,7723.098831784398,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.42186,-99.16364,,0901500010998,120,365.0,17.0,80.0,87.0,14.0,1,1.0,1.0,80460.53170495588,82500.0,82884.61538461539,80692.22689075631,8113.683695315914,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.42187,-99.16916,,0901500010998,121,367.0,11.0,76.0,71.0,9.0,1,1.0,1.0,52747.142272033365,72051.76988416989,77546.94444444444,46323.788956324235,22374.72775213021,45555.55555555556,58439.22572316689,70147.05882352941
casa,venta,19.42186,-99.16916,,0901500010998,122,363.0,11.0,73.0,70.0,10.0,0,1.0,1.0,87255.3125,60693.313993159536,77026.22184684683,46323.788956324235,20800.457667201794,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.42145,-99.16697,,0901500010998,124,350.0,18.0,75.0,57.0,6.0,1,2.0,2.0,63102.38095238096,47990.29126213592,63761.46788990826,47223.396501457726,13188.973894133049,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.42157,-99.16387,,0901500010998,127,376.0,20.0,83.0,94.0,14.0,1,1.0,1.0,82500.0,82205.88235294117,82500.0,80329.41864052469,6203.262926538265,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4202,-99.1684,,0901500010998,130,424.0,32.0,77.0,77.0,10.0,1,2.0,2.0,52293.577981651375,52055.879899916596,58430.91099307903,43088.94230769231,14230.028266924106,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.42028,-99.17046,,0901500010998,131,470.0,75.0,76.0,98.0,11.0,1,3.0,3.0,55555.55555555555,66213.59223300971,75653.72859025034,59900.6587727518,17875.50116819609,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.42186,-99.16364,,0901500010998,133,365.0,17.0,80.0,87.0,14.0,1,1.0,1.0,80285.71428571429,82500.0,82884.61538461539,80823.33995518749,8113.087902446878,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.42186,-99.16364,,0901500010998,135,365.0,17.0,80.0,87.0,14.0,1,1.0,1.0,82500.0,82205.88235294117,82884.61538461539,80329.41864052469,8086.575228845701,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.42064,-99.17022,,0901500010998,136,412.0,23.0,74.0,92.0,13.0,1,1.0,1.0,87810.3448275862,60174.94391912996,66213.59223300971,46642.053445850914,16356.888173624598,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.42064,-99.17022,,0901500010998,137,412.0,23.0,74.0,92.0,13.0,1,1.0,1.0,59626.37362637363,63468.553222448005,74815.82230067666,46642.053445850914,18891.59760617234,45555.55555555556,58439.22572316689,70147.05882352941
casa,venta,19.42138,-99.16901,,0901500010998,138,407.0,30.0,77.0,80.0,9.0,0,2.0,2.0,69065.42056074766,75709.45945945947,77546.94444444444,54985.888618918645,18645.03893624488,45555.55555555556,58439.22572316689,70147.05882352941
casa,venta,19.42138,-99.16901,,0901500010998,139,407.0,30.0,77.0,80.0,9.0,0,2.0,2.0,76013.51351351352,72235.41298307653,77546.94444444444,54985.888618918645,18415.592651213792,45555.55555555556,58439.22572316689,70147.05882352941
casa,venta,19.42028,-99.168,,0901500010998,141,406.0,32.0,74.0,75.0,9.0,0,2.0,3.0,59633.02752293578,52293.577981651375,58430.91099307903,45262.23776223776,13001.573569029017,45555.55555555556,58439.22572316689,70147.05882352941
casa,venta,19.42186,-99.16364,,0901500010998,142,365.0,17.0,80.0,87.0,14.0,0,1.0,1.0,87523.80952380953,82205.88235294117,82500.0,80329.41864052469,7744.282180414182,45555.55555555556,58439.22572316689,70147.05882352941
casa,venta,19.4224,-99.16488,,0901500010998,144,379.0,19.0,75.0,83.0,12.0,0,2.0,3.0,64043.01075268817,57526.91104739919,59016.30394310608,45874.06015037594,12324.458989408768,45555.55555555556,58439.22572316689,70147.05882352941
casa,venta,19.42194,-99.16916,,0901500010998,145,369.0,11.0,75.0,71.0,9.0,0,1.0,1.0,29286.63829787234,54177.30945377369,73757.91196911197,46323.788956324235,19700.27569212213,45555.55555555556,58439.22572316689,70147.05882352941
casa,venta,19.42185,-99.16588,,0901500010998,146,364.0,21.0,82.0,66.0,10.0,0,1.0,2.0,44318.181818181816,45043.70629370629,52678.57142857143,42051.55746509129,11289.489334771293,45555.55555555556,58439.22572316689,70147.05882352941
casa,venta,19.42011,-99.17019,,0901500010998,147,447.0,75.0,64.0,89.0,12.0,0,2.0,2.0,66213.59223300971,62919.98292969167,68972.97846403901,46642.053445850914,18290.9908354596,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.42201,-99.16702,,0901500010998,148,372.0,15.0,76.0,64.0,7.0,1,2.0,2.0,38630.490956072346,47990.04359025163,49497.57281553398,44980.61887092499,10527.032510370422,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.42186,-99.16879,,0901500010998,149,345.0,10.0,71.0,64.0,8.0,1,2.0,3.0,30384.615384615383,53566.55359215703,71556.90791856842,41488.6515353805,20643.185555108612,45555.55555555556,58439.22572316689,70147.05882352941
depto,venta,19.4202,-99.16837,,0901500010998,150,423.0,32.0,75.0,77.0,10.0,1,2.0,3.0,43076.92307692308,55963.30275229357,59633.02752293578,51937.030859049206,13427.41137026937,45555.55555555556,58439.22572316689,70147.05882352941
