price_type,lat,lon,years,CVEGEO,new_id,num_comercios_imp,is_consultorio_imp,is_recreativo_imp,is_retail_imp,is_escuela_imp,Baños_imp,Recámaras_imp,precio_m2_final,nearest_50_pct_price,nearest_75_pct_price,nearest_25_pct_price,nearest_std_price,distance_parque,distance_fuente,ageb_precio_m2_25_pct,ageb_precio_m2_50_pct,ageb_precio_m2_75_pct
venta,19.4195256,-99.162549,0.0,0901500011002,419,317.0,17.0,59.0,71.0,15.0,2.0,2.0,72385.45454545454,63855.96006300964,66949.31773879142,59916.66666666666,7278.611401251912,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,420,317.0,17.0,59.0,71.0,15.0,1.0,1.0,68656.71641791044,63855.96006300964,66949.31773879142,59916.66666666666,7278.611401251912,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,421,317.0,17.0,59.0,71.0,15.0,1.0,1.0,69298.24561403508,63855.96006300964,66949.31773879142,59916.66666666666,7278.611401251912,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,422,317.0,17.0,59.0,71.0,15.0,2.0,2.0,67464.78873239437,63855.96006300964,66949.31773879142,59916.66666666666,7278.611401251912,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,423,317.0,17.0,59.0,71.0,15.0,2.0,2.0,62746.47887323944,63855.96006300964,66949.31773879142,59916.66666666666,7278.611401251912,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,424,317.0,17.0,59.0,71.0,15.0,2.0,2.0,76298.7012987013,63855.96006300964,66949.31773879142,59916.66666666666,7278.611401251912,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,1.0,0901500011002,425,317.0,17.0,59.0,71.0,15.0,3.0,2.0,46632.21761658031,63855.96006300964,66949.31773879142,59916.66666666666,7278.611401251912,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,427,317.0,17.0,59.0,71.0,15.0,1.0,1.0,72105.26315789473,63855.96006300964,66949.31773879142,59916.66666666666,7278.611401251912,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,428,317.0,17.0,59.0,71.0,15.0,1.0,1.0,56583.333333333336,63855.96006300964,66949.31773879142,59916.66666666666,7278.611401251912,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,7.0,0901500011002,430,317.0,17.0,59.0,71.0,15.0,1.0,1.0,72105.26315789473,63855.96006300964,66949.31773879142,59916.66666666666,7278.611401251912,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
