main_name,location,id,property_type,price_type,days_on_site,lat,lon,Baños,Estacionamientos,Recámaras,m2_totales,m2_construidos,years,price_final,source,geometry,index_right,CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,Ambito
Departamento En Venta En Roma Norte 22679al,"Roma Norte, Cuauhtémoc, Distrito Federal",1270,depto,venta,4.0,19.4195256,-99.162549,1.0,,1.0,60.0,60.0,0.0,3595000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Hermoso Departamento En Venta En El Corazón De Roma Norte!,"Tabasco, Roma Norte, Cuauhtémoc, Distrito Federal",1272,depto,venta,10.0,19.4188488,-99.1613324,2.0,2.0,2.0,215.0,215.0,0.0,12900000.0,metros_cubicos,POINT (-99.16133240000001 19.4188488),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En Roma Norte  Ff  22 - 3114 - 1,"Roma Norte, Cuauhtémoc, Distrito Federal",1278,depto,venta,32.0,19.4195256,-99.162549,2.0,1.0,2.0,125.0,125.0,-1.0,6800018.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En La Roma Norte Super Ubicado,"Roma Norte, Cuauhtémoc, Distrito Federal",1282,depto,venta,7.0,19.4195256,-99.162549,2.0,2.0,2.0,90.0,90.0,0.0,5200000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Departamentos De 2 A 3 Habs. En Venta En Colonia Roma Norte,"Roma Norte, Cuauhtémoc, Distrito Federal",1290,depto,venta,20.0,19.4195256,-99.162549,2.0,,3.0,114.0,114.0,1.0,6620120.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En Roma Norte Frontera 22679ru,"Roma Norte, Cuauhtémoc, Distrito Federal",1294,depto,venta,3.0,19.4195256,-99.162549,1.0,,1.0,60.0,60.0,0.0,3595000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En Cuauhtemoc Calle Zacatecas 211908rt,"Roma Norte, Cuauhtémoc, Distrito Federal",1295,depto,venta,4.0,19.4195256,-99.162549,2.0,1.0,1.0,74.0,74.0,0.0,4780000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En Cuauhtemoc 211906rt,"Roma Norte, Cuauhtémoc, Distrito Federal",1296,depto,venta,4.0,19.4195256,-99.162549,1.0,1.0,1.0,58.0,58.0,0.0,3780000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Roma Norte  Ff  21 - 2489 - 1,"Roma Norte, Cuauhtémoc, Distrito Federal",1298,depto,venta,4.0,19.4195256,-99.162549,1.0,1.0,1.0,39.0,39.0,0.0,2980018.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En Roma Norte  Insurgentes Sur Cat212490,"Roma Norte, Cuauhtémoc, Distrito Federal",1304,depto,venta,3.0,19.4195256,-99.162549,1.0,1.0,1.0,47.0,47.0,0.0,3715293.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En Roma Norte San Luis Potosí 22944rt,"Roma Norte, Cuauhtémoc, Distrito Federal",1306,depto,venta,3.0,19.4195256,-99.162549,2.0,1.0,2.0,110.0,110.0,0.0,7962400.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En Roma Norte,"Roma Norte, Cuauhtémoc, Distrito Federal",1308,depto,venta,4.0,19.4195256,-99.162549,2.0,1.0,2.0,110.0,110.0,0.0,7962400.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En Cuauhtemoc Roma Norte 211889rt,"Roma Norte, Cuauhtémoc, Distrito Federal",1309,depto,venta,4.0,19.4195256,-99.162549,1.0,1.0,1.0,67.0,67.0,0.0,4600000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En Cuauhtemoc Roma Norte 211895ru,"Roma Norte, Cuauhtémoc, Distrito Federal",1310,depto,venta,4.0,19.4195256,-99.162549,1.0,1.0,10.0,57.0,57.0,0.0,3950000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En Cuauhtemoc Roma Norte 211909ru,"Roma Norte, Cuauhtémoc, Distrito Federal",1311,depto,venta,4.0,19.4195256,-99.162549,2.0,1.0,2.0,71.0,71.0,0.0,4790000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En Roma Norte 211909rt,"Roma Norte, Cuauhtémoc, Distrito Federal",1312,depto,venta,4.0,19.4195256,-99.162549,2.0,1.0,2.0,71.0,71.0,0.0,4455000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En Cuauhtemoc Roma Norte Oaxaca 212070rt,"Roma Norte, Cuauhtémoc, Distrito Federal",1313,depto,venta,4.0,19.4195256,-99.162549,2.0,,2.0,77.0,77.0,0.0,5875000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En Roma Norte   Ff   21 - 1374 - 1,"Roma Norte, Cuauhtémoc, Distrito Federal",1314,depto,venta,4.0,19.4195256,-99.162549,3.0,1.0,2.0,193.0,193.0,1.0,9000018.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En Roma Norte,"Roma Norte, Cuauhtémoc, Distrito Federal",1323,depto,venta,4.0,19.4195256,-99.162549,2.0,1.0,1.0,67.0,67.0,2.0,4250000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
