main_name,location,id,property_type,price_type,days_on_site,lat,lon,Baños,Estacionamientos,Recámaras,m2_totales,m2_construidos,years,price_final,source,geometry,index_right,CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,Ambito,new_id,num_comercios,is_consultorio,is_recreativo,is_retail,is_escuela,is_depto,Baños_imp,Recámaras_imp,m2_totales_imp,m2_construidos_imp,precio_m2,precio_m2_con,m2_ratio,m2_price_ratio,precio_m2_final
"estrena departamento en condesa, entrega inmediata","Roma Norte, Cuauhtémoc, Distrito Federal",857,depto,venta,1.0,19.4195256,-99.162549,2.0,2.0,3.0,93.0,93.0,0.0,6873000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,294,317.0,17.0,59.0,71.0,15.0,1,2.0,3.0,93.0,93.0,73903.2258064516,73903.2258064516,1.0,1.0,73903.2258064516
departamento en venta cuauhtémoc roma norte gis,"Roma Norte, Cuauhtémoc, Distrito Federal",860,depto,venta,4.0,19.4195256,-99.162549,2.0,1.0,2.0,71.0,71.0,2.0,4390000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,295,317.0,17.0,59.0,71.0,15.0,1,2.0,2.0,71.0,71.0,61830.98591549296,61830.98591549296,1.0,1.0,61830.98591549296
departamento en venta en roma norte cuauhtémoc 22-2444cat,"Roma Norte, Cuauhtémoc, Distrito Federal",863,depto,venta,59.0,19.4195256,-99.162549,2.0,1.0,3.0,86.0,86.0,0.0,4995000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,296,317.0,17.0,59.0,71.0,15.0,1,2.0,3.0,86.0,86.0,58081.395348837206,58081.395348837206,1.0,1.0,58081.395348837206
"departamento en venta en cuauhtémoc,roma norte gis. 21-1905","Roma Norte, Cuauhtémoc, Distrito Federal",864,depto,venta,3.0,19.4195256,-99.162549,2.0,1.0,2.0,71.0,71.0,2.0,4390000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,297,317.0,17.0,59.0,71.0,15.0,1,2.0,2.0,71.0,71.0,61830.98591549296,61830.98591549296,1.0,1.0,61830.98591549296
departamento en venta  cuauhtemoc roma norte gch223136,"Roma Norte, Cuauhtémoc, Distrito Federal",873,depto,venta,33.0,19.4195256,-99.162549,2.0,2.0,2.0,93.0,93.0,1.0,5998135.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,298,317.0,17.0,59.0,71.0,15.0,1,2.0,2.0,93.0,93.0,64496.07526881721,64496.07526881721,1.0,1.0,64496.07526881721
departamento en venta en roma sur  ff  21 - 1904 - 1,"Roma Norte, Cuauhtémoc, Distrito Federal",875,depto,venta,3.0,19.4195256,-99.162549,1.0,1.0,1.0,57.0,57.0,2.0,3750018.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,299,317.0,17.0,59.0,71.0,15.0,1,1.0,1.0,57.0,57.0,65789.78947368421,65789.78947368421,1.0,1.0,65789.78947368421
departamento jalapa  colonia roma norte cuauhtemoc remate,"Cuauhtemoc, Cuauhtémoc, Distrito Federal",884,depto,venta,2.0,19.4184822,-99.1614643,1.0,1.0,2.0,70.0,70.0,36.0,3840000.0,metros_cubicos,POINT (-99.16146430000001 19.4184822),12699,0901500011002,9,15,1,1002,Urbana,300,288.0,11.0,62.0,72.0,15.0,1,1.0,2.0,70.0,70.0,54857.142857142855,54857.142857142855,1.0,1.0,54857.142857142855
se vende departamento en la colonia roma,"Roma Norte, Cuauhtémoc, Distrito Federal",885,depto,venta,2.0,19.4195256,-99.162549,1.0,1.0,2.0,63.0,63.0,0.0,4774000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,301,317.0,17.0,59.0,71.0,15.0,1,1.0,2.0,63.0,63.0,75777.77777777778,75777.77777777778,1.0,1.0,75777.77777777778
departamento en venta en roma norte calle manzanillo 221081ru,"Roma Norte, Cuauhtémoc, Distrito Federal",887,depto,venta,3.0,19.4195256,-99.162549,1.0,1.0,1.0,42.0,42.0,41.0,2595000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,302,317.0,17.0,59.0,71.0,15.0,1,1.0,1.0,42.0,42.0,61785.71428571428,61785.71428571428,1.0,1.0,61785.71428571428
departamento en venta colonia roma,"Roma Norte, Cuauhtémoc, Distrito Federal",888,depto,venta,4.0,19.4195256,-99.162549,2.0,1.0,3.0,86.0,86.0,34.0,4495000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,303,317.0,17.0,59.0,71.0,15.0,1,2.0,3.0,86.0,86.0,52267.441860465115,52267.441860465115,1.0,1.0,52267.441860465115
departamento en venta en roma norte ff  21 - 1901  -  1,"Roma Norte, Cuauhtémoc, Distrito Federal",889,depto,venta,4.0,19.4195256,-99.162549,1.0,2.0,1.0,57.0,57.0,2.0,4027000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,304,317.0,17.0,59.0,71.0,15.0,1,1.0,1.0,57.0,57.0,70649.12280701754,70649.12280701754,1.0,1.0,70649.12280701754
departamento remodelado en venta en roma norte ro - dv21838,"Cuauhtémoc, Distrito Federal",893,depto,venta,29.0,19.4195256,-99.162549,2.0,2.0,2.0,85.0,85.0,0.0,3995002.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,305,317.0,17.0,59.0,71.0,15.0,1,2.0,2.0,85.0,85.0,47000.02352941177,47000.02352941177,1.0,1.0,47000.02352941177
trendy apartment for sale in the heart of roma norte,"Tonala, Roma Norte, Cuauhtémoc, Distrito Federal",896,depto,venta,55.0,19.4194151,-99.1632699,2.0,2.0,2.0,133.0,133.0,14.0,10200000.0,metros_cubicos,POINT (-99.1632699 19.4194151),12699,0901500011002,9,15,1,1002,Urbana,306,332.0,18.0,65.0,74.0,13.0,1,2.0,2.0,133.0,133.0,76691.72932330827,76691.72932330827,1.0,1.0,76691.72932330827
"departamento en venta cuauhtémoc, roma norte. gis. #22-68","Roma Norte, Cuauhtémoc, Distrito Federal",901,depto,venta,4.0,19.4195256,-99.162549,2.0,2.0,2.0,85.0,85.0,12.0,3995000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,307,317.0,17.0,59.0,71.0,15.0,1,2.0,2.0,85.0,85.0,47000.0,47000.0,1.0,1.0,47000.0
