id,price,name,lat,lon,Baños,Recámaras,terreno
161,7999999,"Departamento en Venta en Col. Roma, CDMX",19.41952,-99.16254,2.0,2,
162,728614,EXCELENTE DEPARTAMENTO UBICADO EN ROMA NORTE GRAN REMATE BANCARIO,19.41936,-99.17431,2.0,3,180.0
164,728614,REMATO HERMOSO DEPARTAMENTO EN ROMA SUR CUAUHTEMOC,19.41936,-99.17431,2.0,3,180.0
165,4976000,"Venta de Departamento en Roma Norte, Cuauhtémoc con 1 recámara, ID: 41188",19.42064,-99.17022,1.0,1,52.0
167,3269750,"EXCLUSIVA PRE-VENTA A UNOS METROS DE LA ZONA DE HOSPITALES, COL. ROMA NORTE.",19.41247,-99.15622,1.0,1,41.0
168,3135000,"EXCLUSIVOS LOFT EN PRE-VENTA EN LA ROMA NORTE, LA MEJOR UBICACION DEL MERCADO.",19.42157,-99.16387,1.0,1,38.0
169,3922000,"ULTIMOS DOS LOFT EN PRE-VENTA, FRENTE A LA GLORIETA DE LAS CIBELES.",19.42012,-99.16699,1.0,1,37.0
170,13000000,"Departamento Calle Chihuahua, Col. Roma Norte",19.41751,-99.15959,2.0,2,
176,660884,EXCELENTE DEPARTAMENTO  UBICADO EN  MEDELLIN 14 ROMA CUAUHTEMOC CDMX     REMATE BANCARIO,19.42207,-99.16695,2.0,3,120.0
179,10281600,"VENTA DEPARTAMENTO NUEVO,  ROMA NORTE COLIMA 49",19.42088,-99.15575,2.0,2,
181,3000000,ICON ROMA Departamentos A una cuadra de Glorieta de los Insurgentes y Universidad de las Americas...,19.41952,-99.16254,1.0,1,39.0
183,10592361,"VENTA DEPARTAMENTOS NUEVO,  ROMA NORTE COLIMA 49",19.42088,-99.15575,2.0,3,168.0
187,9900000,Departamento en venta 3 recamaras Roma nuevo,19.41897,-99.16346,2.0,3,
188,3300000,"Jalapa  Col. Roma Norte, Alcaldía Cuauhtémoc",19.41851,-99.16134,2.0,3,137.0
190,2300000,"Coahuila Col. Roma Norte, Alcaldía Cuauhtémoc,",19.41163,-99.16102,2.0,2,90.0
191,2700000,"Medellín 0, Col. Roma Norte,  Cuauhtémoc",19.41142,-99.1643,2.0,2,56.0
192,1600000,"Av. Chapultepec Torre C, Col. Roma Norte, Cuauhtémoc, Ciudad de México.",19.42454,-99.15832,2.0,2,70.0
193,3490000,"COZUMEL, COLONIA ROMA, Depa de buen valor al mejor precio",19.41759,-99.17227,2.0,2,
194,6500000,DEPARTAMENTO EN  ROMA NORTE,19.41952,-99.16254,2.0,2,
203,6853000,"Venta de Departamento en Roma Norte, Cuauhtémoc con 2 recámaras, ID: 56560",19.41239,-99.15623,2.0,2,132.0
204,5060000,"Venta de Departamento en Roma Norte, Cuauhtémoc con 2 recámaras, ID: 56558",19.41239,-99.15623,2.0,2,76.0
