main_name,subtitle,link,location,id,price_mod,price_currency,property_type,price_type,days_on_site,lat,lon,Baños,Estacionamientos,Recámaras,m2_totales,m2_construidos,years,price_final
"Departamento En Venta En Cuauhtémoc,roma Norte. Ru 22-945 ",Departamento en venta,https://departamento.metroscubicos.com/MLM-1339312175-departamento-en-venta-en-cuauhtemocroma-norte-ru-22-945-_JM#position=40&search_layout=grid&type=item&tracking_id=5fe71a78-aad9-4c9f-91d4-76731aed1316,"Roma Norte, Cuauhtémoc, Distrito Federal",1000,9935984.0,pesos,depto,venta,3,19.4356338,-99.1495107,2,2,2,163.0,163.0,0.0,9935984.0
Departamento En Venta En Roma Norte 214976al,Departamento en venta,https://departamento.metroscubicos.com/MLM-1320536723-departamento-en-venta-en-roma-norte-214976al-_JM#position=41&search_layout=grid&type=item&tracking_id=5fe71a78-aad9-4c9f-91d4-76731aed1316,"Roma Norte, Cuauhtémoc, Distrito Federal",1001,4495000.0,pesos,depto,venta,4,19.4195256,-99.162549,2,1,3,86.0,86.0,0.0,4495000.0
Departamento En Venta En Cuauhtemoc Roma Norte 214976rt,Departamento en venta,https://departamento.metroscubicos.com/MLM-1320498880-departamento-en-venta-en-cuauhtemoc-roma-norte-214976rt-_JM#position=42&search_layout=grid&type=item&tracking_id=5fe71a78-aad9-4c9f-91d4-76731aed1316,"Roma Norte, Cuauhtémoc, Distrito Federal",1002,4495000.0,pesos,depto,venta,4,19.4195256,-99.162549,2,1,3,86.0,86.0,0.0,4495000.0
Departamento En Venta En Roma Norte Cuauhtemoc 214976al,Departamento en venta,https://departamento.metroscubicos.com/MLM-1320517903-departamento-en-venta-en-roma-norte-cuauhtemoc-214976al-_JM#position=43&search_layout=grid&type=item&tracking_id=5fe71a78-aad9-4c9f-91d4-76731aed1316,"Roma Norte, Cuauhtémoc, Distrito Federal",1003,4495000.0,pesos,depto,venta,4,19.4195256,-99.162549,2,1,3,86.0,86.0,0.0,4495000.0
"Departamento En Venta En Cuauhtémoc, Roma Norte. E.c",Departamento en venta,https://departamento.metroscubicos.com/MLM-1320529615-departamento-en-venta-en-cuauhtemoc-roma-norte-ec-_JM#position=44&search_layout=grid&type=item&tracking_id=5fe71a78-aad9-4c9f-91d4-76731aed1316,"Roma Norte, Cuauhtémoc, Distrito Federal",1004,4495000.0,pesos,depto,venta,4,19.4356338,-99.1495107,2,1,3,86.0,86.0,34.0,4495000.0
201 Frontera #5-402,Departamento en venta,https://departamento.metroscubicos.com/MLM-1317116863-201-frontera-5-402-_JM#position=45&search_layout=grid&type=item&tracking_id=5fe71a78-aad9-4c9f-91d4-76731aed1316,"5, Frontera, Roma Norte, Cuauhtémoc, Distrito Federal",1005,8200000.0,pesos,depto,venta,,19.424548,-99.157323,2,1,2,129.0,129.0,0.0,8200000.0
Exclusivo Desarrollo En Preventa Colonia Roma Con Espacios Amplios Y Luminosos Entrega Mediados 2022,Departamento en venta,https://departamento.metroscubicos.com/MLM-1336873714-exclusivo-desarrollo-en-preventa-colonia-roma-con-espacios-amplios-y-luminosos-entrega-mediados-2022-_JM#position=46&search_layout=grid&type=item&tracking_id=5fe71a78-aad9-4c9f-91d4-76731aed1316,"Coahuila 28, Roma Norte, Cuauhtémoc, Distrito Federal",1006,3280000.0,pesos,depto,venta,3,19.412471,-99.156222,1,,1,51.0,51.0,0.0,3280000.0
Penthouse En Venta En Zacatecas Roma Norte 212447rt,Departamento en venta,https://departamento.metroscubicos.com/MLM-1320537212-penthouse-en-venta-en-zacatecas-roma-norte-212447rt-_JM#position=47&search_layout=grid&type=item&tracking_id=5fe71a78-aad9-4c9f-91d4-76731aed1316,"Roma Norte, Cuauhtémoc, Distrito Federal",1007,14700000.0,pesos,depto,venta,4,19.4195256,-99.162549,3,2,3,284.0,284.0,0.0,14700000.0
"Departamento En Venta Cerca Del Parque España, Condesa 2 Niv",Departamento en venta,https://departamento.metroscubicos.com/MLM-1361448831-departamento-en-venta-cerca-del-parque-espana-condesa-2-niv-_JM#position=48&search_layout=grid&type=item&tracking_id=5fe71a78-aad9-4c9f-91d4-76731aed1316,"Veracruz, Roma Norte, Cuauhtémoc, Distrito Federal",1008,11800000.0,pesos,depto,venta,43,19.4165043,-99.1732041,2,2,2,149.0,149.0,0.0,11800000.0
"12284 Av. Yucatan, Roma Norte",Departamento en venta,https://departamento.metroscubicos.com/MLM-1350770712-12284-av-yucatan-roma-norte-_JM#position=1&search_layout=grid&type=item&tracking_id=6b4b69ae-9d04-42a4-8d0d-443fb6f89170,"Av  Yucatan, Roma Norte, Cuauhtémoc, Distrito Federal",1009,4890000.0,pesos,depto,venta,,19.413084,-99.16083,2,2,2,93.0,93.0,0.0,4890000.0
"10405 Colima, Roma Norte",Departamento en venta,https://departamento.metroscubicos.com/MLM-1333348643-10405-colima-roma-norte-_JM#position=2&search_layout=grid&type=item&tracking_id=6b4b69ae-9d04-42a4-8d0d-443fb6f89170,"Colima, Roma Norte, Cuauhtémoc, Distrito Federal",1010,6900000.0,pesos,depto,venta,,19.417908,-99.17007,2,2,3,110.0,110.0,0.0,6900000.0
Departamento En Venta En Col. Roma Norte 3 Recamaras 2 Autos,Departamento en venta,https://departamento.metroscubicos.com/MLM-1370743618-departamento-en-venta-en-col-roma-norte-3-recamaras-2-autos-_JM#position=5&search_layout=grid&type=item&tracking_id=6b4b69ae-9d04-42a4-8d0d-443fb6f89170,"Avenida Yucatan 65, Roma Norte, Ciudad De México, Cdmx, México, Roma Norte, Cuauhtémoc, Distrito Federal",1013,5950000.0,pesos,depto,venta,18,19.4145283,-99.1639519,2,2,3,119.0,119.0,15.0,5950000.0
"Departamento En Venta En La Calle Jalapa, Colonia Roma Norte",Departamento en venta,https://departamento.metroscubicos.com/MLM-1362974372-departamento-en-venta-en-la-calle-jalapa-colonia-roma-norte-_JM#position=6&search_layout=grid&type=item&tracking_id=6b4b69ae-9d04-42a4-8d0d-443fb6f89170,"Jalapa, Roma Norte, Cuauhtémoc, Distrito Federal",1014,5900000.0,pesos,depto,venta,40,19.4204591,-99.1614862,2,1,3,150.0,150.0,0.0,5900000.0
Departamento Pent House Nuevo En Venta En Colonia Roma,Departamento en venta,https://departamento.metroscubicos.com/MLM-1325942383-departamento-pent-house-nuevo-en-venta-en-colonia-roma-_JM#position=7&search_layout=grid&type=item&tracking_id=6b4b69ae-9d04-42a4-8d0d-443fb6f89170,"Puebla, Roma Norte, Cuauhtémoc, Distrito Federal",1015,9086780.0,pesos,depto,venta,4,19.4206466,-99.170547,2,2,2,107.0,107.0,0.0,9086780.0
Departamento En Venta En Roma Norte Yucatan 2268ru,Departamento en venta,https://departamento.metroscubicos.com/MLM-1320505238-departamento-en-venta-en-roma-norte-yucatan-2268ru-_JM#position=8&search_layout=grid&type=item&tracking_id=6b4b69ae-9d04-42a4-8d0d-443fb6f89170,"Roma Norte, Cuauhtémoc, Distrito Federal",1016,3995000.0,pesos,depto,venta,4,19.4195256,-99.162549,2,2,2,85.0,85.0,0.0,3995000.0
Departamento En La Roma,Departamento en venta,https://departamento.metroscubicos.com/MLM-952426008-departamento-en-la-roma-_JM#position=9&search_layout=grid&type=item&tracking_id=6b4b69ae-9d04-42a4-8d0d-443fb6f89170,"Querétaro, Roma Norte, Cuauhtémoc, Distrito Federal",1017,8500000.0,pesos,depto,venta,6,19.413676,-99.1654703,3,1,3,145.0,145.0,0.0,8500000.0
 Departamento En Venta Cuauhtémoc Roma Norte Rt 22-3139,Departamento en venta,https://departamento.metroscubicos.com/MLM-1367133849-departamento-en-venta-cuauhtemoc-roma-norte-rt-22-3139-_JM#position=10&search_layout=grid&type=item&tracking_id=6b4b69ae-9d04-42a4-8d0d-443fb6f89170,"Roma Norte, Cuauhtémoc, Distrito Federal",1018,14654425.0,pesos,depto,venta,28,19.4161278,-99.161594,3,3,3,169.0,169.0,1.0,14654425.0
Penthouse En Venta En Zacatecas Cuauhtemoc Roma Norte 212447rt,Departamento en venta,https://departamento.metroscubicos.com/MLM-1320499493-penthouse-en-venta-en-zacatecas-cuauhtemoc-roma-norte-212447rt-_JM#position=11&search_layout=grid&type=item&tracking_id=6b4b69ae-9d04-42a4-8d0d-443fb6f89170,"Roma Norte, Cuauhtémoc, Distrito Federal",1019,14700000.0,pesos,depto,venta,4,19.4195256,-99.162549,3,2,3,284.0,284.0,0.0,14700000.0
Departamento En Venta Roma Norte,Departamento en venta,https://departamento.metroscubicos.com/MLM-925818380-departamento-en-venta-roma-norte-_JM#position=12&search_layout=grid&type=item&tracking_id=6b4b69ae-9d04-42a4-8d0d-443fb6f89170,"Valladolid0, Roma Norte, Cuauhtémoc, Distrito Federal",1020,3425000.0,pesos,depto,venta,8,19.419863,-99.1682223,1,,1,0.0,42.0,0.0,3425000.0
Departamento En Venta En Cordoba Cat214976,Departamento en venta,https://departamento.metroscubicos.com/MLM-1351597584-departamento-en-venta-en-cordoba-cat214976-_JM#position=13&search_layout=grid&type=item&tracking_id=6b4b69ae-9d04-42a4-8d0d-443fb6f89170,"Roma Norte, Cuauhtémoc, Distrito Federal",1021,4495000.0,pesos,depto,venta,2,19.4195256,-99.162549,2,1,3,86.0,86.0,0.0,4495000.0
Departamento En Venta Con Terraza En La Roma Norte,Departamento en venta,https://departamento.metroscubicos.com/MLM-1330183717-departamento-en-venta-con-terraza-en-la-roma-norte-_JM#position=16&search_layout=grid&type=item&tracking_id=6b4b69ae-9d04-42a4-8d0d-443fb6f89170,"Av. Chapultepec, Roma Norte, Cuauhtémoc, Distrito Federal",1024,4595000.0,pesos,depto,venta,3,19.418153,-99.1652014,2,1,2,93.0,85.0,0.0,4595000.0
Lofts Y Departamentos De Lujo Una Y Dos Recamaras,Departamento en venta,https://departamento.metroscubicos.com/MLM-889946108-lofts-y-departamentos-de-lujo-una-y-dos-recamaras-_JM#position=17&search_layout=grid&type=item&tracking_id=6b4b69ae-9d04-42a4-8d0d-443fb6f89170,"Roma Norte, Cuauhtémoc, Distrito Federal",1025,4050000.0,pesos,depto,venta,11,19.412896,-99.1623996,2,1,2,57.0,57.0,0.0,4050000.0
"D649 - Sinaloa, Roma Norte",Departamento en venta,https://departamento.metroscubicos.com/MLM-1316995439-d649-sinaloa-roma-norte-_JM#position=18&search_layout=grid&type=item&tracking_id=6b4b69ae-9d04-42a4-8d0d-443fb6f89170,"Sinaloa, Roma Norte, Cuauhtémoc, Distrito Federal",1026,6820000.0,pesos,depto,venta,,19.420114,-99.170194,2,1,2,103.0,103.0,0.0,6820000.0
Exclusivo Desarrollo En Preventa Colonia Roma Con Espacios Amplios Y Luminosos Entrega Mediados 2022,Departamento en venta,https://departamento.metroscubicos.com/MLM-1336895262-exclusivo-desarrollo-en-preventa-colonia-roma-con-espacios-amplios-y-luminosos-entrega-mediados-2022-_JM#position=21&search_layout=grid&type=item&tracking_id=6b4b69ae-9d04-42a4-8d0d-443fb6f89170,"Coahuila 28, Roma Norte, Cuauhtémoc, Distrito Federal",1029,7245000.0,pesos,depto,venta,3,19.412471,-99.156222,2,,2,76.0,76.0,0.0,7245000.0
Excelente Pent House En Venta En Roma Norte,Departamento en venta,https://departamento.metroscubicos.com/MLM-1330093240-excelente-pent-house-en-venta-en-roma-norte-_JM#position=22&search_layout=grid&type=item&tracking_id=6b4b69ae-9d04-42a4-8d0d-443fb6f89170,"Guanajuato, Roma Norte, Cuauhtémoc, Distrito Federal",1030,9350000.0,pesos,depto,venta,3,19.4168211,-99.1596475,2,2,2,0.0,117.0,1.0,9350000.0
"Departamento En Venta Cuauhtémoc, Roma Norte Gis.",Departamento en venta,https://departamento.metroscubicos.com/MLM-1320537070-departamento-en-venta-cuauhtemoc-roma-norte-gis-_JM#position=23&search_layout=grid&type=item&tracking_id=6b4b69ae-9d04-42a4-8d0d-443fb6f89170,"Roma Norte, Cuauhtémoc, Distrito Federal",1031,6500000.0,pesos,depto,venta,4,19.4195256,-99.162549,1,1,1,75.0,75.0,2.0,6500000.0
Departamento En Venta Cuauhtémoc Roma Norte Gis,Departamento en venta,https://departamento.metroscubicos.com/MLM-1320537067-departamento-en-venta-cuauhtemoc-roma-norte-gis-_JM#position=24&search_layout=grid&type=item&tracking_id=6b4b69ae-9d04-42a4-8d0d-443fb6f89170,"Roma Norte, Cuauhtémoc, Distrito Federal",1032,4780000.0,pesos,depto,venta,4,19.4195256,-99.162549,2,1,1,74.0,74.0,2.0,4780000.0
Departamento En Venta Roma Norte Cuauhtémoc Rt 22-3138,Departamento en venta,https://departamento.metroscubicos.com/MLM-1367183127-departamento-en-venta-roma-norte-cuauhtemoc-rt-22-3138-_JM#position=25&search_layout=grid&type=item&tracking_id=6b4b69ae-9d04-42a4-8d0d-443fb6f89170,"Roma Norte, Cuauhtémoc, Distrito Federal",1033,12843080.0,pesos,depto,venta,28,19.4195256,-99.162549,3,2,3,160.0,160.0,1.0,12843080.0
"Departamento En Venta En Cuauhtémoc, Roma Norte.  E.c",Departamento en venta,https://departamento.metroscubicos.com/MLM-1333411299-departamento-en-venta-en-cuauhtemoc-roma-norte-ec-_JM#position=26&search_layout=grid&type=item&tracking_id=6b4b69ae-9d04-42a4-8d0d-443fb6f89170,"Roma Norte, Cuauhtémoc, Distrito Federal",1034,4495003.0,pesos,depto,venta,3,19.4356338,-99.1495107,2,1,3,86.0,86.0,34.0,4495003.0
Departamento Venta En Roma Norte,Departamento en venta,https://departamento.metroscubicos.com/MLM-1352281159-departamento-venta-en-roma-norte-_JM#position=30&search_layout=grid&type=item&tracking_id=6b4b69ae-9d04-42a4-8d0d-443fb6f89170,"Avenida Chapultepec, Roma Norte, Cuauhtémoc, Distrito Federal",1038,4750000.0,pesos,depto,venta,2,19.4246,-99.1583,2,1,2,70.0,70.0,10.0,4750000.0
Departamento En Roma Norte,Departamento en venta,https://departamento.metroscubicos.com/MLM-1348409544-departamento-en-roma-norte-_JM#position=31&search_layout=grid&type=item&tracking_id=6b4b69ae-9d04-42a4-8d0d-443fb6f89170,"Cuauhtémoc, Distrito Federal",1039,3840000.0,pesos,depto,venta,2,19.4184822,-99.1614643,2,1,3,80.0,80.0,0.0,3840000.0
